NDVI,country_na,year
0.39221166835918525,Russia,2015
0.4343840630323239,Ukraine,2015
0.5337427718096958,Romania,2015
0.4105786087390956,Moldova,2015
0.3435444362888857,Russia,2015
0.43634472410160535,Finland,2015
0.29777584280059743,Norway,2015
0.4204556322978806,Andorra,2015
0.5519322702141353,Italy,2015
0.2828230038561212,Monaco,2015
0.3614093256970119,Malta,2015
0.5511680381951152,San Marino,2015
0.3129408898431443,Vatican City,2015
0.5849674884070326,Croatia,2015
0.5111264368683113,Albania,2015
0.5820678974487838,Bosnia & Herzegovina,2015
0.5226870642858767,Montenegro,2015
0.5432467096337193,Serbia,2015
0.5530109020803303,Greece,2015
0.5235397381540884,Macedonia,2015
0.5412314079826334,Kosovo,2015
0.5524849144725659,Bulgaria,2015
0.6768427248265301,Portugal (Azores),2015
0.5354548580231349,Portugal,2015
0.29619146564123633,Gibraltar,2015
0.4557714730972961,Spain,2015
0.6143079712190694,France,2015
-0.042965048830811065,Svalbard,2015
0.4506570624801064,Sweden,2015
0.5809861624996749,Denmark,2015
0.5267270686310569,Estonia,2015
0.5342661193667099,Latvia,2015
0.5117622465310658,Lithuania,2015
0.5066074644004305,Belarus,2015
0.5507228404334368,Poland,2015
0.6046986992093287,Germany,2015
0.5703233512288803,Czechia,2015
0.5594216336714757,Slovakia,2015
0.5228351079278559,Hungary,2015
0.6458556759519728,Slovenia,2015
0.5444054068492711,Austria,2015
0.5949981417606459,Dragonja River Mouth,2015
0.4597832280230529,Switzerland,2015
0.5365025725645461,Liechtenstein,2015
0.6050994403897898,Luxembourg,2015
0.6296735744083932,Netherlands,2015
0.6249677612852177,Belgium,2015
0.6022792728028395,United Kingdom,2015
0.6290284303380567,Jersey,2015
0.6338715187468754,Guernsey,2015
0.6818579954729438,Ireland,2015
0.6336924120564137,Isle of Man,2015
0.30412771232926006,Faroe Is,2015
0.13676633738879515,Iceland,2015
0.01117171528830082,Jan Mayen,2015
0.39397949273687277,Russia,2016
0.4271105369149296,Ukraine,2016
0.5498848292049721,Romania,2016
0.4528684139148968,Moldova,2016
0.3570950869437598,Russia,2016
0.42051002369489865,Finland,2016
0.30861412147072176,Norway,2016
0.4249860095832329,Andorra,2016
0.5607558948491421,Italy,2016
0.26574087825440523,Monaco,2016
0.3017523388935987,Malta,2016
0.5830798265107577,San Marino,2016
0.3014535158346753,Vatican City,2016
0.6006813913390867,Croatia,2016
0.5433622595496959,Albania,2016
0.6108715798976643,Bosnia & Herzegovina,2016
0.546025506946517,Montenegro,2016
0.5665136538651919,Serbia,2016
0.5462706254080013,Greece,2016
0.5498225678904394,Macedonia,2016
0.5797963675627493,Kosovo,2016
0.5519001113652309,Bulgaria,2016
0.6408437477790372,Portugal (Azores),2016
0.5596575047010881,Portugal,2016
0.3103092939556547,Gibraltar,2016
0.46146591528386416,Spain,2016
0.6113289633372014,France,2016
-0.039370110263842656,Svalbard,2016
0.44009885094895884,Sweden,2016
0.5606046829377823,Denmark,2016
0.4602101154654731,Estonia,2016
0.49992898017853205,Latvia,2016
0.48894780406611166,Lithuania,2016
0.46935436046616763,Belarus,2016
0.5418715394379626,Poland,2016
0.6087182498331164,Germany,2016
0.5693709555917276,Czechia,2016
0.5660738106254265,Slovakia,2016
0.533663060304529,Hungary,2016
0.6476990563805038,Slovenia,2016
0.5467886718028679,Austria,2016
0.600385859327217,Dragonja River Mouth,2016
0.4653717685370179,Switzerland,2016
0.5511415181846937,Liechtenstein,2016
0.6519067174723232,Luxembourg,2016
0.6249663627975566,Netherlands,2016
0.6343805894278745,Belgium,2016
0.6035313107562381,United Kingdom,2016
0.6045235853046173,Jersey,2016
0.6271990829298756,Guernsey,2016
0.683253313829316,Ireland,2016
0.6454061834340602,Isle of Man,2016
0.32515349818169775,Faroe Is,2016
0.16528826879350783,Iceland,2016
0.031701831356515026,Jan Mayen,2016
0.3933796210637986,Russia,2017
0.4350641414021783,Ukraine,2017
0.5276572204267904,Romania,2017
0.4492946127665429,Moldova,2017
0.3065513041054443,Russia,2017
0.3931201331240326,Finland,2017
0.2940183915117284,Norway,2017
0.41566756314201325,Andorra,2017
0.5304089383161192,Italy,2017
0.2578266120626032,Monaco,2017
0.3607621730745763,Malta,2017
0.5319898489877773,San Marino,2017
0.2972780521262003,Vatican City,2017
0.5820487014265027,Croatia,2017
0.5155536102227614,Albania,2017
0.5835547973416724,Bosnia & Herzegovina,2017
0.5115043645423408,Montenegro,2017
0.529828398580251,Serbia,2017
0.5364744943966421,Greece,2017
0.5066728071847867,Macedonia,2017
0.5399256039233945,Kosovo,2017
0.5298718056411433,Bulgaria,2017
0.6739866582193691,Portugal (Azores),2017
0.5106887305330247,Portugal,2017
0.2936712987030992,Gibraltar,2017
0.44934670156912243,Spain,2017
0.6110466922786274,France,2017
-0.033749437334406884,Svalbard,2017
0.433555247372546,Sweden,2017
0.583514387611219,Denmark,2017
0.5070951675970453,Estonia,2017
0.5243421803192413,Latvia,2017
0.4966343874229788,Lithuania,2017
0.4928876438096476,Belarus,2017
0.5369634919258319,Poland,2017
0.5902649563281062,Germany,2017
0.5466675231544869,Czechia,2017
0.5396381707541544,Slovakia,2017
0.5171753239240656,Hungary,2017
0.6366272766436123,Slovenia,2017
0.521554043540519,Austria,2017
0.5976531600748672,Dragonja River Mouth,2017
0.45252093447484776,Switzerland,2017
0.5141167814121107,Liechtenstein,2017
0.6036912246569408,Luxembourg,2017
0.610383813553458,Netherlands,2017
0.5987294363920012,Belgium,2017
0.6063888077241286,United Kingdom,2017
0.6256003206729616,Jersey,2017
0.6434467321290624,Guernsey,2017
0.6842274559109137,Ireland,2017
0.6563581094144127,Isle of Man,2017
0.3510355847633792,Faroe Is,2017
0.17984625681057492,Iceland,2017
0.03698191959673592,Jan Mayen,2017
0.40237048831219197,Russia,2018
0.4209839161546917,Ukraine,2018
0.5212754407811713,Romania,2018
0.4190212744905147,Moldova,2018
0.3463074064779974,Russia,2018
0.4327657661969963,Finland,2018
0.31049477431153516,Norway,2018
0.3941507684149602,Andorra,2018
0.5587012242606425,Italy,2018
0.26536975273193597,Monaco,2018
0.3635546795917535,Malta,2018
0.5542318993699846,San Marino,2018
0.30160425836464483,Vatican City,2018
0.5884504321741459,Croatia,2018
0.5358230764236759,Albania,2018
0.5875293108490777,Bosnia & Herzegovina,2018
0.5277132941448874,Montenegro,2018
0.5475158936053706,Serbia,2018
0.5576904021177609,Greece,2018
0.5323795028095659,Macedonia,2018
0.5578531588286233,Kosovo,2018
0.554295271267937,Bulgaria,2018
0.6768758064388096,Portugal (Azores),2018
0.539005553507244,Portugal,2018
0.31758724687358025,Gibraltar,2018
0.4677395371263725,Spain,2018
0.6066334815293312,France,2018
-0.034962543684630254,Svalbard,2018
0.44000354436158745,Sweden,2018
0.5781188262040128,Denmark,2018
0.46144944022296136,Estonia,2018
0.49534624365380553,Latvia,2018
0.49341855259521555,Lithuania,2018
0.4888491224138582,Belarus,2018
0.5446992403344144,Poland,2018
0.5911709152164681,Germany,2018
0.5674584564123396,Czechia,2018
0.5627271784567939,Slovakia,2018
0.5364505323089274,Hungary,2018
0.6290023866482433,Slovenia,2018
0.5295922807624318,Austria,2018
0.6104341660493475,Dragonja River Mouth,2018
0.46289947467916204,Switzerland,2018
0.5470397482762781,Liechtenstein,2018
0.6221341151085578,Luxembourg,2018
0.6117713934222138,Netherlands,2018
0.6200394481556618,Belgium,2018
0.6029694781264925,United Kingdom,2018
0.6000185727571483,Jersey,2018
0.6240312333521637,Guernsey,2018
0.6834723372554817,Ireland,2018
0.6527162405723468,Isle of Man,2018
0.3488120064790776,Faroe Is,2018
0.16008115668087736,Iceland,2018
0.0405320883516978,Jan Mayen,2018
0.40958788410611496,Russia,2019
0.45055881376205964,Ukraine,2019
0.5254881440500901,Romania,2019
0.4452067854700062,Moldova,2019
0.3223293096358196,Russia,2019
0.4068853431214102,Finland,2019
0.29954609712592656,Norway,2019
0.41109965101784296,Andorra,2019
0.562608549444571,Italy,2019
0.27932274176472266,Monaco,2019
0.3827212940712136,Malta,2019
0.5771520257743306,San Marino,2019
0.31495643227768827,Vatican City,2019
0.6076107101675599,Croatia,2019
0.5310540776829338,Albania,2019
0.6016949862647786,Bosnia & Herzegovina,2019
0.5288611274405179,Montenegro,2019
0.5295086900491318,Serbia,2019
0.5606016268481367,Greece,2019
0.5062084235133605,Macedonia,2019
0.5332903981666778,Kosovo,2019
0.5500952758867531,Bulgaria,2019
0.669698527241096,Portugal (Azores),2019
0.5421123239099459,Portugal,2019
0.28905257285189634,Gibraltar,2019
0.46606651438907687,Spain,2019
0.6154941856747702,France,2019
-0.03583490176186677,Svalbard,2019
0.43359650878402695,Sweden,2019
0.5958659497930173,Denmark,2019
0.4864042321140732,Estonia,2019
0.5255297438996808,Latvia,2019
0.5103833720260603,Lithuania,2019
0.5256664812725681,Belarus,2019
0.5687392818487751,Poland,2019
0.6172517357741076,Germany,2019
0.5772110838595581,Czechia,2019
0.5710056814391704,Slovakia,2019
0.5397727977861912,Hungary,2019
0.6591761607373977,Slovenia,2019
0.526438647153658,Austria,2019
0.6135288071348941,Dragonja River Mouth,2019
0.456742897694359,Switzerland,2019
0.5149762842187273,Liechtenstein,2019
0.6485937328850038,Luxembourg,2019
0.6326340081549557,Netherlands,2019
0.6310712250003432,Belgium,2019
0.619316090985195,United Kingdom,2019
0.5820994106694253,Jersey,2019
0.5941309941795356,Guernsey,2019
0.6879070290090017,Ireland,2019
0.6683375576649007,Isle of Man,2019
0.3548549343249977,Faroe Is,2019
0.17548674365466171,Iceland,2019
0.0340451188332349,Jan Mayen,2019
0.43019617215698175,Russia,2020
0.4788241898224412,Ukraine,2020
0.5675800674273376,Romania,2020
0.4586287313151852,Moldova,2020
0.3547869655074666,Russia,2020
0.4483767509722856,Finland,2020
0.29403816950366696,Norway,2020
0.4407930390704763,Andorra,2020
0.5699923539488477,Italy,2020
0.26969003165997635,Monaco,2020
0.3575444214551226,Malta,2020
0.5890929619066874,San Marino,2020
0.31780428818512557,Vatican City,2020
0.6256193925905287,Croatia,2020
0.5600091789627885,Albania,2020
0.6434192024960692,Bosnia & Herzegovina,2020
0.5723271044760699,Montenegro,2020
0.5833961059438503,Serbia,2020
0.5770892150181665,Greece,2020
0.5563293895840944,Macedonia,2020
